episode,environment_seed,epsilon,episode_reward,episode_cost,holding_cost,stockout_cost,ordering_cost,discarding_cost,steps,states_seen
193,49393070,0.7495994991284238,-5448.0,544800.0,180300.0,58900.0,16400.0,289200.0,50,245
194,114991843,0.7484750998797313,-6030.524999999998,603052.5,180002.5,34000.0,16000.0,373050.0,50,246
195,142678202,0.7473523872299117,-5954.725,595472.5,183872.5,10400.0,17600.0,383600.0,50,246
196,760481803,0.7462313586490669,-4595.074999999999,459507.5,164457.5,51700.0,14800.0,228550.0,50,247
197,787627916,0.7451120116110933,-5235.349999999999,523535.0,154585.0,67600.0,15200.0,286150.0,50,248
198,268864973,0.7439943435936767,-3493.0499999999997,349305.0,160055.0,10900.0,17600.0,160750.0,50,251
199,441826989,0.7428783520782862,-7019.825000000001,701982.5,181082.5,34800.0,17200.0,468900.0,50,251
200,502794622,0.7417640345501688,-7415.449999999998,741545.0,192295.0,127400.0,16800.0,405050.0,50,255
201,302796164,0.7406513884983436,-4298.199999999999,429820.0,161020.0,33200.0,16400.0,219200.0,50,255
202,507525272,0.7395404114155961,-3455.1499999999996,345515.0,169765.0,32000.0,16000.0,127750.0,50,255
203,870366587,0.7384311007984727,-4016.524999999999,401652.5,164702.5,33200.0,15600.0,188150.0,50,255
204,500868022,0.7373234541472751,-4251.849999999999,425185.0,174985.0,84800.0,14800.0,150600.0,50,255
205,762239452,0.7362174689660542,-5760.900000000001,576090.0,177640.0,14800.0,17200.0,366450.0,50,255
206,783702299,0.7351131427626052,-7671.8,767180.0,173630.0,85500.0,17600.0,490450.0,50,255
207,518970008,0.7340104730484613,-6290.074999999999,629007.5,180107.5,33900.0,16800.0,398200.0,50,255
208,352457800,0.7329094573388887,-7145.075000000002,714507.5,189507.5,114000.0,15600.0,395400.0,50,255
209,801642543,0.7318100931528804,-6970.475,697047.5,174947.5,118000.0,16800.0,387300.0,50,256
210,953334452,0.7307123780131511,-6651.299999999999,665130.0,174730.0,72000.0,16800.0,401600.0,50,256
211,95528353,0.7296163094461314,-4182.775000000001,418277.5,168277.5,77200.0,15200.0,157600.0,50,256
212,732937445,0.7285218849819622,-5312.3,531230.0,180080.0,5300.0,16800.0,329050.0,50,256
213,609893332,0.7274291021544893,-5035.575,503557.5,171857.5,40800.0,16800.0,274100.0,50,256
214,439394833,0.7263379585012576,-3944.4000000000005,394440.0,160140.0,18500.0,16400.0,199400.0,50,261
215,612340249,0.7252484515635057,-3420.5249999999996,342052.5,168152.5,7600.0,15600.0,150700.0,50,262
216,332958852,0.7241605788861605,-4723.0,472300.0,180500.0,82800.0,16000.0,193000.0,50,262
217,454269301,0.7230743380178313,-4643.625,464362.5,176762.5,36400.0,15200.0,236000.0,50,263
218,952769608,0.7219897265108046,-6803.199999999999,680320.0,194220.0,169400.0,15200.0,301500.0,50,263
219,487170062,0.7209067419210384,-6208.4,620840.0,174240.0,85200.0,16000.0,345400.0,50,263
220,487693904,0.7198253818081569,-5393.6,539360.0,171860.0,44000.0,16400.0,307100.0,50,263
221,521452242,0.7187456437354447,-5834.100000000001,583410.0,173710.0,0.0,17600.0,392100.0,50,266
222,515386096,0.7176675252698416,-4974.675,497467.5,177017.5,0.0,16800.0,303650.0,50,266
223,934422065,0.7165910239819369,-3416.9,341690.0,161440.0,400.0,17200.0,162650.0,50,266
224,939124023,0.715516137445964,-6308.299999999999,630830.0,183080.0,0.0,17200.0,430550.0,50,266
225,543587882,0.7144428632397951,-6005.574999999999,600557.5,182157.5,59200.0,15600.0,343600.0,50,266
226,26263154,0.7133711989449355,-5711.975,571197.5,181297.5,76400.0,17600.0,295900.0,50,266
227,990155601,0.7123011421465182,-4866.175,486617.5,169567.5,68400.0,15200.0,233450.0,50,266
228,992138516,0.7112326904332984,-4715.174999999999,471517.5,167067.5,6400.0,17600.0,280450.0,50,266
229,757658495,0.7101658413976485,-3782.9999999999995,378300.0,158950.0,36000.0,15200.0,168150.0,50,266
230,948043028,0.709100592635552,-5944.474999999999,594447.5,176647.5,98400.0,15200.0,304200.0,50,266
231,202510823,0.7080369417465987,-5073.424999999999,507342.5,167642.5,65200.0,16400.0,258100.0,50,266
232,568213219,0.7069748863339789,-6442.275,644227.5,174977.5,75900.0,16800.0,376550.0,50,267
233,498793237,0.7059144240044779,-6171.35,617135.0,184335.0,28000.0,17200.0,387600.0,50,267
234,113709270,0.7048555523684712,-4846.5,484650.0,175750.0,70800.0,15600.0,222500.0,50,267
235,377287385,0.7037982690399185,-5366.849999999999,536685.0,179285.0,49200.0,15200.0,293000.0,50,267
236,4325778,0.7027425716363587,-4271.299999999999,427130.0,170380.0,136000.0,14400.0,106350.0,50,267
237,957104953,0.7016884577789042,-7806.574999999996,780657.5,188557.5,0.0,18000.0,574100.0,50,269
238,343795384,0.7006359250922359,-3392.074999999999,339207.5,164357.5,52300.0,14800.0,107750.0,50,272
239,178917178,0.6995849712045976,-5213.250000000001,521325.0,180925.0,1800.0,17200.0,321400.0,50,272
240,533790766,0.6985355937477907,-5263.55,526355.0,188905.0,42800.0,16000.0,278650.0,50,272
241,6720561,0.6974877903571691,-3008.5249999999996,300852.5,151752.5,34100.0,16400.0,98600.0,50,273
242,15514350,0.6964415586716334,-5315.8499999999985,531585.0,174435.0,123200.0,15600.0,218350.0,50,273
